County	Constituency	Ward	Latitude	Longitude
BARINGO	BARINGO  NORTH	SAIMO/SOI	SESOI PRIMARY SCHOOL	0.62916	35.844758
BARINGO	BARINGO  NORTH	SAIMO/SOI	SIBILO PRIMARY SCHOOL	0.70092	35.898788
BARINGO	BARINGO  NORTH	SAIMO/SOI	SUTIECHUN PRIMARY SCHOOL	0.63446	35.862508
BARINGO	BARINGO  NORTH	SAIMO/SOI	TABARIN PRIMARY SCHOOL	0.33899	35.812588
BARINGO	BARINGO  NORTH	SAIMO/SOI	TIBINGAR PRIMARY SCHOOL	0.652	35.893958
BARINGO	BARINGO  NORTH	SAIMO/SOI	YATYA PRIMARY SCHOOL	0.0	0.0
BARINGO	BARINGO CENTRAL	EWALEL/CHAPCHAP	KABARBARMA PRIMARY SCHOOL	0.42861	35.818178
BARINGO	BARINGO CENTRAL	EWALEL/CHAPCHAP	KABOCHONY PRIMARY SCHOOL	0.44045	35.800388
BARINGO	BARINGO CENTRAL	EWALEL/CHAPCHAP	KAPKIAI PRIMARY SCHOOL	0.42553	35.805548
BARINGO	BARINGO CENTRAL	EWALEL/CHAPCHAP	KAPKOIMET NURSERY	0.0	0.0
BARINGO	BARINGO CENTRAL	EWALEL/CHAPCHAP	KAPKOMOI PRIMARY SCHOOL	0.50025	35.793578
BARINGO	BARINGO CENTRAL	EWALEL/CHAPCHAP	KAPNGELEL PRIMARY SCHOOL	0.46871	35.808418
BARINGO	BARINGO CENTRAL	EWALEL/CHAPCHAP	KAPTALAM PRIMARY SCHOOL	0.53927	35.781638
BARINGO	BARINGO CENTRAL	EWALEL/CHAPCHAP	KAPTOROKWO PRIMARY SCHOOL	0.44676	35.795498
BARINGO	BARINGO CENTRAL	EWALEL/CHAPCHAP	KAPTUMO PRIMARY SCHOOL	0.069987	35.068151
BARINGO	BARINGO CENTRAL	EWALEL/CHAPCHAP	KASORE PRIMARY SCHOOL	0.5212	35.805568
BARINGO	BARINGO CENTRAL	EWALEL/CHAPCHAP	KIPKAECH PRIMARY SCHOOL	0.0	0.0
BARINGO	BARINGO CENTRAL	EWALEL/CHAPCHAP	KITUMBEI PRIMARY SCHOOL	0.47108	35.791098
BARINGO	BARINGO CENTRAL	EWALEL/CHAPCHAP	KITURO PRIMARY SCHOOL	0.47876	35.785978
BARINGO	BARINGO CENTRAL	EWALEL/CHAPCHAP	KITURO YOUTH POLYTECHNIC	0.0	0.0
BARINGO	BARINGO CENTRAL	EWALEL/CHAPCHAP	MANAACH PRI	0.53862	35.791398
BARINGO	BARINGO CENTRAL	EWALEL/CHAPCHAP	MOI TTC PRI	0.56436	35.738278
BARINGO	BARINGO CENTRAL	EWALEL/CHAPCHAP	NGETMOI PRIMARY SCHOOL	0.40963	35.819738
BARINGO	BARINGO CENTRAL	EWALEL/CHAPCHAP	ROSOBET PRIMARY SCHOOL	0.56371	35.778698
BARINGO	BARINGO CENTRAL	EWALEL/CHAPCHAP	SERETUNIN PRIMARY SCHOOL	0.55292	35.789478
BARINGO	BARINGO CENTRAL	EWALEL/CHAPCHAP	SESYA PRIMARY SCHOOL	0.49368	35.810758
BARINGO	BARINGO CENTRAL	EWALEL/CHAPCHAP	SOSUR NURSERY SCHOOL	0.0	0.0
BARINGO	BARINGO CENTRAL	EWALEL/CHAPCHAP	TALAI PRIMARY SCHOOL	0.442794	35.406757
BARINGO	BARINGO CENTRAL	KABARNET	BARINGO YOUTH POLYTECHNIC	0.0	0.0
BARINGO	BARINGO CENTRAL	KABARNET	CHEPTURET NURSERY SCHOOL	0.0	0.0
BARINGO	BARINGO CENTRAL	KABARNET	CHESONGO PRIMARY SCHOOL	0.54801	35.676148
BARINGO	BARINGO CENTRAL	KABARNET	ERON PRIMARY SCHOOL	0.48263	35.676108
BARINGO	BARINGO CENTRAL	KABARNET	KABARGOGE PRI	0.67147	35.819568
BARINGO	BARINGO CENTRAL	KABARNET	KABARNET DEAF&BLIND SCHOOL	0.0	0.0
BARINGO	BARINGO CENTRAL	KABARNET	KABARNET HIGH	0.49792	35.738478
BARINGO	BARINGO CENTRAL	KABARNET	KABARNET HURTH SECONDARY	0.0	0.0
BARINGO	BARINGO CENTRAL	KABARNET	KABARNET MUNICIPAL HALL	0.0	0.0
BARINGO	BARINGO CENTRAL	KABARNET	KAKWANE PRIMARY SCHOOL	0.52035	35.628278
BARINGO	BARINGO CENTRAL	KABARNET	KAMWEN PRIMARY SCHOOL	0.55044	35.750948
BARINGO	BARINGO CENTRAL	KABARNET	KAPCHEMON PRIMARY SCHOOL	0.52596	35.744938
BARINGO	BARINGO CENTRAL	KABARNET	KAPCHOMUSO PRIMARY SCHOOL	0.53778	35.743878
BARINGO	BARINGO CENTRAL	KABARNET	KAPKOKWON PRIMARY SCHOOL	0.5494	35.709938
BARINGO	BARINGO CENTRAL	KABARNET	KAPKOLE NURSERY SCHOOL	0.0	0.0
BARINGO	BARINGO CENTRAL	KABARNET	KAPSIGORIAN PRIMARY SCHOOL	0.4746	35.707938
BARINGO	BARINGO CENTRAL	KABARNET	KAPTARA PRIMARY SCHOOL	0.54945	35.646888
BARINGO	BARINGO CENTRAL	KABARNET	KAPTENO Primary SCHOOL	0.44706	35.699188
BARINGO	BARINGO CENTRAL	KABARNET	KAPTIMBOR PRIMARY SCHOOL	0.49666	35.732928
BARINGO	BARINGO CENTRAL	KABARNET	KAPYEMIT PRIMARY SCHOOL	0.566942	35.23674
BARINGO	BARINGO CENTRAL	KABARNET	KETINDUI PRIMARY SCHOOL	0.5183	35.714648
BARINGO	BARINGO CENTRAL	KABARNET	KIBOINO PRIMARY SCHOOL	0.4607	35.682868
BARINGO	BARINGO CENTRAL	KABARNET	KIMOSO PRIMARY SCHOOL	-0.665272	35.160348
BARINGO	BARINGO CENTRAL	KABARNET	KIPLABAL PRIMARY SCHOOL	0.45226	35.689328
BARINGO	BARINGO CENTRAL	KABARNET	KIPSOIT PRIMARY SCHOOL	0.51503	35.650318
BARINGO	BARINGO CENTRAL	KABARNET	KOISOMO NURSERY SCHOOL	0.0	0.0
BARINGO	BARINGO CENTRAL	KABARNET	MAGONOI PRIMARY SCHOOL	0.5118	35.683798
BARINGO	BARINGO CENTRAL	KABARNET	METIPSO PRIMARY SCHOOL	0.08475	35.661838
BARINGO	BARINGO CENTRAL	KABARNET	MOI PRIMARY SCHOOL	0.56436	35.738278
BARINGO	BARINGO CENTRAL	KABARNET	NGOLONG PRIMARY SCHOOL	0.54351	35.763598
BARINGO	BARINGO CENTRAL	KABARNET	ONOIBMOI SECONDARY SCHOOL	0.0	0.0
BARINGO	BARINGO CENTRAL	KABARNET	OROKWO PRIMARY SCHOOL	0.56397	35.756658
BARINGO	BARINGO CENTRAL	KABARNET	PEMWAI PRIMARY SCHOOL	0.57031	35.770698
BARINGO	BARINGO CENTRAL	KABARNET	SALAWA PRIMARY SCHOOL	0.49641	35.663198
BARINGO	BARINGO CENTRAL	KABARNET	SEGUTON PRIMARY SCHOOL	0.50453	35.747418
BARINGO	BARINGO CENTRAL	KABARNET	SIRONOI PRIMARY SCHOOL	0.30505	35.096068
BARINGO	BARINGO CENTRAL	KABARNET	TEREBEN PRIMARY SCHOOL	0.52453	35.754038
BARINGO	BARINGO CENTRAL	KAPROPITA	BOKORIN PRIMARY SCHOOL	0.5293	35.772488
BARINGO	BARINGO CENTRAL	KAPROPITA	BOROWONIN PRIMARY SCHOOL	0.44199	35.779358
BARINGO	BARINGO CENTRAL	KAPROPITA	CEREAL BOARD DEPOT	0.0	0.0
BARINGO	BARINGO CENTRAL	KAPROPITA	KAMGOIN PRIMARY SCHOOL	0.46772	35.762728
BARINGO	BARINGO CENTRAL	KAPROPITA	KAPCHEREBET PRIMARY SCHOOL	0.44947	35.719918
BARINGO	BARINGO CENTRAL	KAPROPITA	KAPKONY PRIMARY SCHOOL	0.44433	35.765068
BARINGO	BARINGO CENTRAL	KAPROPITA	KAPKUT AIC NURSERY SCHOOL	0.0	0.0
BARINGO	BARINGO CENTRAL	KAPROPITA	KAPKUT PRIMARY SCHOOL	0.31582	35.525678
BARINGO	BARINGO CENTRAL	KAPROPITA	KAPKWEN PRIMARY SCHOOL	-0.790068	35.297171
BARINGO	BARINGO CENTRAL	KAPROPITA	KAPROPITA PRIMARY SCHOOL	0.48688	35.753478
BARINGO	BARINGO CENTRAL	KAPROPITA	KAPSERGONG NURSERY SCHOOL	0.0	0.0
BARINGO	BARINGO CENTRAL	KAPROPITA	KAPSOGO PRIMARY SCHOOL	0.45198	35.781608
BARINGO	BARINGO CENTRAL	KAPROPITA	KAPSOO PRIMARY SCHOOL	0.46585	35.771098
BARINGO	BARINGO CENTRAL	KAPROPITA	KAPTIEN PRIMARY SCHOOL	0.911107	35.096527
BARINGO	BARINGO CENTRAL	KAPROPITA	KASITET DISPENSARY	0.0	0.0
BARINGO	BARINGO CENTRAL	KAPROPITA	KASOIYO DIPENSARY	0.0	0.0
BARINGO	BARINGO CENTRAL	KAPROPITA	KIBOI PRIMARY SCHOOL	0.47193	35.754338
BARINGO	BARINGO CENTRAL	KAPROPITA	KIMAKOK PRIMARY SCHOOL	0.0	0.0
BARINGO	BARINGO CENTRAL	KAPROPITA	KIPTILIT PRIMARY SCHOOL	0.48867	35.766158
BARINGO	BARINGO CENTRAL	KAPROPITA	KISOK PRIMARY SCHOOL	0.40412	35.705808
BARINGO	BARINGO CENTRAL	KAPROPITA	KMTC KABARNET	0.0	0.0
BARINGO	BARINGO CENTRAL	KAPROPITA	LELGOITA NURSERY SCHOOL	0.0	0.0
BARINGO	BARINGO CENTRAL	KAPROPITA	MUMOL PRIMARY SCHOOL	0.47923	35.748108
